kelurahan_id	kelurahan	kecamatan_id	kecamatan	kota	cluster	distribution_weight
BATAM-BLP-KEL07	Tanjung Sari	BATAM-BLP	Belakang Padang	Kota Batam	Island Community	0,961
BATAM-BLG-KEL01	Batu Legong	BATAM-BLG	Bulang	Kota Batam	Island Fisheries	0,913
BATAM-BLG-KEL02	Bulang Lintang	BATAM-BLG	Bulang	Kota Batam	Island Fisheries	0,93
BATAM-BLG-KEL03	Pantai Gelam	BATAM-BLG	Bulang	Kota Batam	Island Fisheries	1,131
BATAM-BLG-KEL04	Pulau Buluh	BATAM-BLG	Bulang	Kota Batam	Island Fisheries	1,044
BATAM-BLG-KEL05	Setokok	BATAM-BLG	Bulang	Kota Batam	Island Fisheries	1,033
BATAM-BLG-KEL06	Temoyong	BATAM-BLG	Bulang	Kota Batam	Island Fisheries	0,901
BATAM-GLG-KEL01	Air Raja	BATAM-GLG	Galang	Kota Batam	Island Tourism Fisheries	1,069
BATAM-GLG-KEL02	Galang Baru	BATAM-GLG	Galang	Kota Batam	Island Tourism Fisheries	0,899
BATAM-GLG-KEL03	Karas	BATAM-GLG	Galang	Kota Batam	Island Tourism Fisheries	0,964
BATAM-GLG-KEL04	Pulau Abang	BATAM-GLG	Galang	Kota Batam	Island Tourism Fisheries	1,147
BATAM-GLG-KEL05	Rempang Cate	BATAM-GLG	Galang	Kota Batam	Island Tourism Fisheries	1,042
BATAM-GLG-KEL06	Sembulang	BATAM-GLG	Galang	Kota Batam	Island Tourism Fisheries	1,017
BATAM-GLG-KEL07	Sijantung	BATAM-GLG	Galang	Kota Batam	Island Tourism Fisheries	1,055
BATAM-GLG-KEL08	Subang Mas	BATAM-GLG	Galang	Kota Batam	Island Tourism Fisheries	1,103
