fact_id	year	kecamatan_id	kecamatan	sector_id	sector_name	umkm_count	employment_est	estimated_revenue_million_idr	digital_adoption_pct	formalization_rate_pct	data_status
51	2020	BATAM-BTK	Batam Kota	SEK-DIG	Digital & Kreatif	174	243	22550,4	67,8	33,5	Derived from fact_umkm_kelurahan_sector
52	2020	BATAM-BTK	Batam Kota	SEK-FAS	Fashion & Aksesoris	301	556	22033,2	48,6	30,9	Derived from fact_umkm_kelurahan_sector
53	2020	BATAM-BTK	Batam Kota	SEK-JAS	Jasa Personal	373	652	25065,6	41	29,6	Derived from fact_umkm_kelurahan_sector
54	2020	BATAM-BTK	Batam Kota	SEK-KER	Kerajinan & Souvenir	196	317	11054,4	50,4	29,8	Derived from fact_umkm_kelurahan_sector
55	2020	BATAM-BTK	Batam Kota	SEK-KUL	Kuliner & Makanan	471	1282	42390	38	25,8	Derived from fact_umkm_kelurahan_sector
56	2020	BATAM-BTK	Batam Kota	SEK-LOG	Transportasi & Logistik Mikro	207	337	17636,4	44,5	29,1	Derived from fact_umkm_kelurahan_sector
57	2020	BATAM-BTK	Batam Kota	SEK-OTM	Otomotif & Repair	157	267	13753,2	35,4	26,2	Derived from fact_umkm_kelurahan_sector
58	2020	BATAM-BTK	Batam Kota	SEK-PAR	Pariwisata & Akomodasi Mikro	104	230	11856	58,4	34,7	Derived from fact_umkm_kelurahan_sector
59	2020	BATAM-BTK	Batam Kota	SEK-PRK	Perikanan & Olahan Laut	224	415	18278,4	20,5	23,7	Derived from fact_umkm_kelurahan_sector
60	2020	BATAM-BTK	Batam Kota	SEK-RIT	Retail & Perdagangan	448	994	44083,2	38,4	30,3	Derived from fact_umkm_kelurahan_sector
61	2020	BATAM-GLG	Galang	SEK-DIG	Digital & Kreatif	8	12	1036,8	67,5	34,3	Derived from fact_umkm_kelurahan_sector
62	2020	BATAM-GLG	Galang	SEK-FAS	Fashion & Aksesoris	17	34	1244,4	51,1	31,1	Derived from fact_umkm_kelurahan_sector
63	2020	BATAM-GLG	Galang	SEK-JAS	Jasa Personal	21	37	1411,2	41,4	29,6	Derived from fact_umkm_kelurahan_sector
64	2020	BATAM-GLG	Galang	SEK-KER	Kerajinan & Souvenir	16	24	902,4	48,6	31,6	Derived from fact_umkm_kelurahan_sector
65	2020	BATAM-GLG	Galang	SEK-KUL	Kuliner & Makanan	28	78	2520	38,1	27,6	Derived from fact_umkm_kelurahan_sector
66	2020	BATAM-GLG	Galang	SEK-LOG	Transportasi & Logistik Mikro	16	26	1363,2	45,1	30,7	Derived from fact_umkm_kelurahan_sector
67	2020	BATAM-GLG	Galang	SEK-OTM	Otomotif & Repair	16	27	1401,6	37,4	28,4	Derived from fact_umkm_kelurahan_sector
68	2020	BATAM-GLG	Galang	SEK-PAR	Pariwisata & Akomodasi Mikro	8	16	912	56,8	32,8	Derived from fact_umkm_kelurahan_sector
69	2020	BATAM-GLG	Galang	SEK-PRK	Perikanan & Olahan Laut	25	46	2040	27,2	25,9	Derived from fact_umkm_kelurahan_sector
70	2020	BATAM-GLG	Galang	SEK-RIT	Retail & Perdagangan	25	58	2460	33,7	29,7	Derived from fact_umkm_kelurahan_sector
71	2020	BATAM-LBJ	Lubuk Baja	SEK-DIG	Digital & Kreatif	63	93	8164,8	68,5	34,3	Derived from fact_umkm_kelurahan_sector
72	2020	BATAM-LBJ	Lubuk Baja	SEK-FAS	Fashion & Aksesoris	185	347	13542	53,4	31,8	Derived from fact_umkm_kelurahan_sector
73	2020	BATAM-LBJ	Lubuk Baja	SEK-JAS	Jasa Personal	219	397	14716,8	38,9	29,7	Derived from fact_umkm_kelurahan_sector
74	2020	BATAM-LBJ	Lubuk Baja	SEK-KER	Kerajinan & Souvenir	118	201	6655,2	51,4	33,1	Derived from fact_umkm_kelurahan_sector
75	2020	BATAM-LBJ	Lubuk Baja	SEK-KUL	Kuliner & Makanan	294	697	26460	39,3	28,5	Derived from fact_umkm_kelurahan_sector
76	2020	BATAM-LBJ	Lubuk Baja	SEK-LOG	Transportasi & Logistik Mikro	132	231	11246,4	45,5	31,5	Derived from fact_umkm_kelurahan_sector
77	2020	BATAM-LBJ	Lubuk Baja	SEK-OTM	Otomotif & Repair	90	150	7884	38,8	31,5	Derived from fact_umkm_kelurahan_sector
78	2020	BATAM-LBJ	Lubuk Baja	SEK-PAR	Pariwisata & Akomodasi Mikro	103	228	11742	53,5	30,2	Derived from fact_umkm_kelurahan_sector
79	2020	BATAM-LBJ	Lubuk Baja	SEK-PRK	Perikanan & Olahan Laut	133	226	10852,8	22,2	23,1	Derived from fact_umkm_kelurahan_sector
80	2020	BATAM-LBJ	Lubuk Baja	SEK-RIT	Retail & Perdagangan	274	626	26961,6	32,3	26,1	Derived from fact_umkm_kelurahan_sector
81	2020	BATAM-NGS	Nongsa	SEK-DIG	Digital & Kreatif	107	165	13867,2	66,4	35,1	Derived from fact_umkm_kelurahan_sector
82	2020	BATAM-NGS	Nongsa	SEK-FAS	Fashion & Aksesoris	170	345	12444	52,1	35,6	Derived from fact_umkm_kelurahan_sector
83	2020	BATAM-NGS	Nongsa	SEK-JAS	Jasa Personal	230	376	15456	42,1	26,9	Derived from fact_umkm_kelurahan_sector
84	2020	BATAM-NGS	Nongsa	SEK-KER	Kerajinan & Souvenir	116	167	6542,4	48,9	31,5	Derived from fact_umkm_kelurahan_sector
85	2020	BATAM-NGS	Nongsa	SEK-KUL	Kuliner & Makanan	270	722	24300	36,9	29,9	Derived from fact_umkm_kelurahan_sector
86	2020	BATAM-NGS	Nongsa	SEK-LOG	Transportasi & Logistik Mikro	121	198	10309,2	45,4	32,3	Derived from fact_umkm_kelurahan_sector
87	2020	BATAM-NGS	Nongsa	SEK-OTM	Otomotif & Repair	95	159	8322	35,7	29	Derived from fact_umkm_kelurahan_sector
88	2020	BATAM-NGS	Nongsa	SEK-PAR	Pariwisata & Akomodasi Mikro	98	193	11172	58,1	32,4	Derived from fact_umkm_kelurahan_sector
89	2020	BATAM-NGS	Nongsa	SEK-PRK	Perikanan & Olahan Laut	131	256	10689,6	26	25,9	Derived from fact_umkm_kelurahan_sector
90	2020	BATAM-NGS	Nongsa	SEK-RIT	Retail & Perdagangan	256	618	25190,4	36,1	30,3	Derived from fact_umkm_kelurahan_sector
91	2020	BATAM-SBD	Sungai Beduk	SEK-DIG	Digital & Kreatif	62	81	8035,2	67,9	35,3	Derived from fact_umkm_kelurahan_sector
92	2020	BATAM-SBD	Sungai Beduk	SEK-FAS	Fashion & Aksesoris	167	319	12224,4	52	31,8	Derived from fact_umkm_kelurahan_sector
93	2020	BATAM-SBD	Sungai Beduk	SEK-JAS	Jasa Personal	216	375	14515,2	41,3	29,1	Derived from fact_umkm_kelurahan_sector
94	2020	BATAM-SBD	Sungai Beduk	SEK-KER	Kerajinan & Souvenir	116	196	6542,4	52,8	31,3	Derived from fact_umkm_kelurahan_sector
95	2020	BATAM-SBD	Sungai Beduk	SEK-KUL	Kuliner & Makanan	298	839	26820	40	27,4	Derived from fact_umkm_kelurahan_sector
96	2020	BATAM-SBD	Sungai Beduk	SEK-LOG	Transportasi & Logistik Mikro	123	190	10479,6	45,5	29,2	Derived from fact_umkm_kelurahan_sector
97	2020	BATAM-SBD	Sungai Beduk	SEK-OTM	Otomotif & Repair	96	147	8409,6	38	27,9	Derived from fact_umkm_kelurahan_sector
98	2020	BATAM-SBD	Sungai Beduk	SEK-PAR	Pariwisata & Akomodasi Mikro	62	122	7068	57,6	34	Derived from fact_umkm_kelurahan_sector
99	2020	BATAM-SBD	Sungai Beduk	SEK-PRK	Perikanan & Olahan Laut	132	221	10771,2	22,3	23,8	Derived from fact_umkm_kelurahan_sector
100	2020	BATAM-SBD	Sungai Beduk	SEK-RIT	Retail & Perdagangan	262	582	25780,8	30,6	24,8	Derived from fact_umkm_kelurahan_sector
101	2020	BATAM-SGL	Sagulung	SEK-DIG	Digital & Kreatif	131	198	16977,6	71,3	37,2	Derived from fact_umkm_kelurahan_sector
102	2020	BATAM-SGL	Sagulung	SEK-FAS	Fashion & Aksesoris	376	743	27523,2	53,1	30,2	Derived from fact_umkm_kelurahan_sector
103	2020	BATAM-SGL	Sagulung	SEK-JAS	Jasa Personal	454	743	30508,8	39,7	28,5	Derived from fact_umkm_kelurahan_sector
104	2020	BATAM-SGL	Sagulung	SEK-KER	Kerajinan & Souvenir	251	384	14156,4	47,1	31,3	Derived from fact_umkm_kelurahan_sector
105	2020	BATAM-SGL	Sagulung	SEK-KUL	Kuliner & Makanan	799	2176	71910	39,2	31,5	Derived from fact_umkm_kelurahan_sector
106	2020	BATAM-SGL	Sagulung	SEK-LOG	Transportasi & Logistik Mikro	265	415	22578	45,1	29	Derived from fact_umkm_kelurahan_sector
107	2020	BATAM-SGL	Sagulung	SEK-OTM	Otomotif & Repair	190	324	16644	39,1	27,6	Derived from fact_umkm_kelurahan_sector
108	2020	BATAM-SGL	Sagulung	SEK-PAR	Pariwisata & Akomodasi Mikro	137	276	15618	57,7	32,7	Derived from fact_umkm_kelurahan_sector
109	2020	BATAM-SGL	Sagulung	SEK-PRK	Perikanan & Olahan Laut	287	526	23419,2	26,5	23,7	Derived from fact_umkm_kelurahan_sector
110	2020	BATAM-SGL	Sagulung	SEK-RIT	Retail & Perdagangan	718	1643	70651,2	33,9	26,2	Derived from fact_umkm_kelurahan_sector
111	2020	BATAM-SKP	Sekupang	SEK-DIG	Digital & Kreatif	90	130	11664	70,1	36,7	Derived from fact_umkm_kelurahan_sector
112	2020	BATAM-SKP	Sekupang	SEK-FAS	Fashion & Aksesoris	263	553	19251,6	52,6	31,7	Derived from fact_umkm_kelurahan_sector
113	2020	BATAM-SKP	Sekupang	SEK-JAS	Jasa Personal	329	559	22108,8	40,6	30,2	Derived from fact_umkm_kelurahan_sector
114	2020	BATAM-SKP	Sekupang	SEK-KER	Kerajinan & Souvenir	170	265	9588	49	31,2	Derived from fact_umkm_kelurahan_sector
115	2020	BATAM-SKP	Sekupang	SEK-KUL	Kuliner & Makanan	431	1065	38790	39,1	26,4	Derived from fact_umkm_kelurahan_sector
116	2020	BATAM-SKP	Sekupang	SEK-LOG	Transportasi & Logistik Mikro	283	433	24111,6	44,6	30,5	Derived from fact_umkm_kelurahan_sector
117	2020	BATAM-SKP	Sekupang	SEK-OTM	Otomotif & Repair	138	243	12088,8	37,9	27,6	Derived from fact_umkm_kelurahan_sector
118	2020	BATAM-SKP	Sekupang	SEK-PAR	Pariwisata & Akomodasi Mikro	94	201	10716	58,6	32,8	Derived from fact_umkm_kelurahan_sector
119	2020	BATAM-SKP	Sekupang	SEK-PRK	Perikanan & Olahan Laut	211	397	17217,6	25,5	25,6	Derived from fact_umkm_kelurahan_sector
120	2020	BATAM-SKP	Sekupang	SEK-RIT	Retail & Perdagangan	393	937	38671,2	35,7	28,1	Derived from fact_umkm_kelurahan_sector
121	2021	BATAM-BAJ	Batu Aji	SEK-DIG	Digital & Kreatif	97	144	13074	71,6	40,3	Derived from fact_umkm_kelurahan_sector
122	2021	BATAM-BAJ	Batu Aji	SEK-FAS	Fashion & Aksesoris	268	516	20402,3	57,9	38,1	Derived from fact_umkm_kelurahan_sector
123	2021	BATAM-BAJ	Batu Aji	SEK-JAS	Jasa Personal	285	522	19918,2	47,7	36,6	Derived from fact_umkm_kelurahan_sector
124	2021	BATAM-BAJ	Batu Aji	SEK-KER	Kerajinan & Souvenir	163	258	9561	53,3	37	Derived from fact_umkm_kelurahan_sector
125	2021	BATAM-BAJ	Batu Aji	SEK-KUL	Kuliner & Makanan	584	1564	54662,4	42,6	35,7	Derived from fact_umkm_kelurahan_sector
126	2021	BATAM-BAJ	Batu Aji	SEK-LOG	Transportasi & Logistik Mikro	170	266	15063,4	49,2	34,4	Derived from fact_umkm_kelurahan_sector
127	2021	BATAM-BAJ	Batu Aji	SEK-OTM	Otomotif & Repair	130	215	11843,4	41,3	32,9	Derived from fact_umkm_kelurahan_sector
128	2021	BATAM-BAJ	Batu Aji	SEK-PAR	Pariwisata & Akomodasi Mikro	114	243	13515,8	60,3	37,7	Derived from fact_umkm_kelurahan_sector
129	2021	BATAM-BAJ	Batu Aji	SEK-PRK	Perikanan & Olahan Laut	198	377	16803,1	25,7	29,1	Derived from fact_umkm_kelurahan_sector
130	2021	BATAM-BAJ	Batu Aji	SEK-RIT	Retail & Perdagangan	484	1148	49530,6	43,4	33	Derived from fact_umkm_kelurahan_sector
131	2021	BATAM-BAM	Batu Ampar	SEK-DIG	Digital & Kreatif	46	67	6200	74,4	38,7	Derived from fact_umkm_kelurahan_sector
132	2021	BATAM-BAM	Batu Ampar	SEK-FAS	Fashion & Aksesoris	116	243	8830,8	54,1	39,6	Derived from fact_umkm_kelurahan_sector
133	2021	BATAM-BAM	Batu Ampar	SEK-JAS	Jasa Personal	139	247	9714,6	40,2	36,2	Derived from fact_umkm_kelurahan_sector
134	2021	BATAM-BAM	Batu Ampar	SEK-KER	Kerajinan & Souvenir	71	110	4164,7	52,6	37,2	Derived from fact_umkm_kelurahan_sector
135	2021	BATAM-BAM	Batu Ampar	SEK-KUL	Kuliner & Makanan	185	509	17316	42,8	34,1	Derived from fact_umkm_kelurahan_sector
136	2021	BATAM-BAM	Batu Ampar	SEK-LOG	Transportasi & Logistik Mikro	128	202	11341,9	48	36,4	Derived from fact_umkm_kelurahan_sector
137	2021	BATAM-BAM	Batu Ampar	SEK-OTM	Otomotif & Repair	55	98	5010,9	42,9	37,3	Derived from fact_umkm_kelurahan_sector
138	2021	BATAM-BAM	Batu Ampar	SEK-PAR	Pariwisata & Akomodasi Mikro	47	94	5572,4	60,7	37,3	Derived from fact_umkm_kelurahan_sector
139	2021	BATAM-BAM	Batu Ampar	SEK-PRK	Perikanan & Olahan Laut	90	185	7637,7	24,7	30,4	Derived from fact_umkm_kelurahan_sector
140	2021	BATAM-BAM	Batu Ampar	SEK-RIT	Retail & Perdagangan	172	398	17601,8	35	34,4	Derived from fact_umkm_kelurahan_sector
141	2021	BATAM-BKG	Bengkong	SEK-DIG	Digital & Kreatif	94	143	12669,8	72,4	39,5	Derived from fact_umkm_kelurahan_sector
142	2021	BATAM-BKG	Bengkong	SEK-FAS	Fashion & Aksesoris	243	512	18499,1	53,4	36,8	Derived from fact_umkm_kelurahan_sector
143	2021	BATAM-BKG	Bengkong	SEK-JAS	Jasa Personal	291	519	20337,4	46,9	34,4	Derived from fact_umkm_kelurahan_sector
144	2021	BATAM-BKG	Bengkong	SEK-KER	Kerajinan & Souvenir	165	238	9678,3	54,8	37,5	Derived from fact_umkm_kelurahan_sector
145	2021	BATAM-BKG	Bengkong	SEK-KUL	Kuliner & Makanan	536	1347	50169,6	42,6	32,6	Derived from fact_umkm_kelurahan_sector
146	2021	BATAM-BKG	Bengkong	SEK-LOG	Transportasi & Logistik Mikro	172	288	15240,5	49,1	34,8	Derived from fact_umkm_kelurahan_sector
147	2021	BATAM-BKG	Bengkong	SEK-OTM	Otomotif & Repair	128	218	11661,3	42,2	35,1	Derived from fact_umkm_kelurahan_sector
148	2021	BATAM-BKG	Bengkong	SEK-PAR	Pariwisata & Akomodasi Mikro	109	235	12923	60,8	38,6	Derived from fact_umkm_kelurahan_sector
149	2021	BATAM-BKG	Bengkong	SEK-PRK	Perikanan & Olahan Laut	177	319	15021	25,4	29,3	Derived from fact_umkm_kelurahan_sector
150	2021	BATAM-BKG	Bengkong	SEK-RIT	Retail & Perdagangan	481	1151	49223,6	40,9	36,4	Derived from fact_umkm_kelurahan_sector
151	2021	BATAM-BLG	Bulang	SEK-DIG	Digital & Kreatif	12	16	1617,6	71,5	42,2	Derived from fact_umkm_kelurahan_sector
152	2021	BATAM-BLG	Bulang	SEK-FAS	Fashion & Aksesoris	12	22	913,8	55,8	38,1	Derived from fact_umkm_kelurahan_sector
153	2021	BATAM-BLG	Bulang	SEK-JAS	Jasa Personal	13	23	908,7	43,2	36,6	Derived from fact_umkm_kelurahan_sector
154	2021	BATAM-BLG	Bulang	SEK-KER	Kerajinan & Souvenir	12	18	703,8	50,7	35	Derived from fact_umkm_kelurahan_sector
155	2021	BATAM-BLG	Bulang	SEK-KUL	Kuliner & Makanan	18	48	1684,8	44,7	33,6	Derived from fact_umkm_kelurahan_sector
156	2021	BATAM-BLG	Bulang	SEK-LOG	Transportasi & Logistik Mikro	12	19	1063,2	50,5	36,4	Derived from fact_umkm_kelurahan_sector
157	2021	BATAM-BLG	Bulang	SEK-OTM	Otomotif & Repair	12	19	1093,2	43,2	34,8	Derived from fact_umkm_kelurahan_sector
158	2021	BATAM-BLG	Bulang	SEK-PAR	Pariwisata & Akomodasi Mikro	6	12	711,6	63,8	40	Derived from fact_umkm_kelurahan_sector
159	2021	BATAM-BLG	Bulang	SEK-PRK	Perikanan & Olahan Laut	17	30	1442,7	26,6	31,6	Derived from fact_umkm_kelurahan_sector
160	2021	BATAM-BLG	Bulang	SEK-RIT	Retail & Perdagangan	16	38	1637,4	38,8	33,5	Derived from fact_umkm_kelurahan_sector
161	2021	BATAM-BLP	Belakang Padang	SEK-DIG	Digital & Kreatif	14	21	1887,2	71	42,1	Derived from fact_umkm_kelurahan_sector
162	2021	BATAM-BLP	Belakang Padang	SEK-FAS	Fashion & Aksesoris	25	52	1903,2	56,3	38,5	Derived from fact_umkm_kelurahan_sector
163	2021	BATAM-BLP	Belakang Padang	SEK-JAS	Jasa Personal	27	46	1887,3	46,1	36,4	Derived from fact_umkm_kelurahan_sector
164	2021	BATAM-BLP	Belakang Padang	SEK-KER	Kerajinan & Souvenir	14	22	821,1	51,6	38,5	Derived from fact_umkm_kelurahan_sector
165	2021	BATAM-BLP	Belakang Padang	SEK-KUL	Kuliner & Makanan	37	100	3463,2	41,3	37,1	Derived from fact_umkm_kelurahan_sector
166	2021	BATAM-BLP	Belakang Padang	SEK-LOG	Transportasi & Logistik Mikro	17	28	1506,2	47,8	36,4	Derived from fact_umkm_kelurahan_sector
167	2021	BATAM-BLP	Belakang Padang	SEK-OTM	Otomotif & Repair	14	23	1275,4	42,7	35,6	Derived from fact_umkm_kelurahan_sector
168	2021	BATAM-BLP	Belakang Padang	SEK-PAR	Pariwisata & Akomodasi Mikro	7	14	830,2	60,1	38,3	Derived from fact_umkm_kelurahan_sector
169	2021	BATAM-BLP	Belakang Padang	SEK-PRK	Perikanan & Olahan Laut	34	67	2885,3	27,3	32,7	Derived from fact_umkm_kelurahan_sector
170	2021	BATAM-BLP	Belakang Padang	SEK-RIT	Retail & Perdagangan	33	76	3377,1	39,2	34,9	Derived from fact_umkm_kelurahan_sector
171	2021	BATAM-BTK	Batam Kota	SEK-DIG	Digital & Kreatif	212	297	28574,2	73,8	43,8	Derived from fact_umkm_kelurahan_sector
172	2021	BATAM-BTK	Batam Kota	SEK-FAS	Fashion & Aksesoris	313	633	23828,1	55,3	39,2	Derived from fact_umkm_kelurahan_sector
173	2021	BATAM-BTK	Batam Kota	SEK-JAS	Jasa Personal	370	685	25858,5	42,8	35,2	Derived from fact_umkm_kelurahan_sector
174	2021	BATAM-BTK	Batam Kota	SEK-KER	Kerajinan & Souvenir	197	317	11555,2	51,1	35,1	Derived from fact_umkm_kelurahan_sector
175	2021	BATAM-BTK	Batam Kota	SEK-KUL	Kuliner & Makanan	529	1425	49514,4	43,5	34,3	Derived from fact_umkm_kelurahan_sector
176	2021	BATAM-BTK	Batam Kota	SEK-LOG	Transportasi & Logistik Mikro	223	362	19759,5	51,1	36,3	Derived from fact_umkm_kelurahan_sector
177	2021	BATAM-BTK	Batam Kota	SEK-OTM	Otomotif & Repair	161	264	14667,7	40,1	33,4	Derived from fact_umkm_kelurahan_sector
178	2021	BATAM-BTK	Batam Kota	SEK-PAR	Pariwisata & Akomodasi Mikro	129	267	15294,2	61,5	40,5	Derived from fact_umkm_kelurahan_sector
179	2021	BATAM-BTK	Batam Kota	SEK-PRK	Perikanan & Olahan Laut	234	413	19858,3	29,9	33,5	Derived from fact_umkm_kelurahan_sector
