program_fact_id	year	kecamatan_id	kecamatan	program_id	program_name	relevance_score	target_beneficiaries	budget_idr	estimated_successful_umkm	data_status
38	2024	BATAM-BAM	Batu Ampar	PRG-HAL	Sertifikasi Halal & Legalitas	76	56	25200000	54	Analytical Simulation
39	2024	BATAM-BAM	Batu Ampar	PRG-MOD	Akses Pembiayaan Mikro	50	37	33300000	31	Analytical Simulation
40	2024	BATAM-BAM	Batu Ampar	PRG-PKG	Packaging & Branding	50	37	27750000	31	Analytical Simulation
41	2024	BATAM-BAM	Batu Ampar	PRG-EXP	Scale-up Ekspor/Antar Pulau	82	60	72000000	59	Analytical Simulation
42	2024	BATAM-BAM	Batu Ampar	PRG-SEA	Blue Economy Support	50	37	29600000	31	Analytical Simulation
43	2024	BATAM-NGS	Nongsa	PRG-DIG	Digitalisasi UMKM	86	105	63000000	106	Analytical Simulation
44	2024	BATAM-NGS	Nongsa	PRG-HAL	Sertifikasi Halal & Legalitas	76	93	41850000	89	Analytical Simulation
45	2024	BATAM-NGS	Nongsa	PRG-MOD	Akses Pembiayaan Mikro	50	61	54900000	51	Analytical Simulation
46	2024	BATAM-NGS	Nongsa	PRG-PKG	Packaging & Branding	84	103	77250000	103	Analytical Simulation
47	2024	BATAM-NGS	Nongsa	PRG-EXP	Scale-up Ekspor/Antar Pulau	50	61	73200000	51	Analytical Simulation
48	2024	BATAM-NGS	Nongsa	PRG-SEA	Blue Economy Support	50	61	48800000	51	Analytical Simulation
49	2024	BATAM-SBD	Sungai Beduk	PRG-DIG	Digitalisasi UMKM	50	57	34200000	47	Analytical Simulation
50	2024	BATAM-SBD	Sungai Beduk	PRG-HAL	Sertifikasi Halal & Legalitas	76	87	39150000	84	Analytical Simulation
51	2024	BATAM-SBD	Sungai Beduk	PRG-MOD	Akses Pembiayaan Mikro	50	57	51300000	47	Analytical Simulation
52	2024	BATAM-SBD	Sungai Beduk	PRG-PKG	Packaging & Branding	50	57	42750000	47	Analytical Simulation
53	2024	BATAM-SBD	Sungai Beduk	PRG-EXP	Scale-up Ekspor/Antar Pulau	50	57	68400000	47	Analytical Simulation
54	2024	BATAM-SBD	Sungai Beduk	PRG-SEA	Blue Economy Support	50	57	45600000	47	Analytical Simulation
55	2024	BATAM-BLP	Belakang Padang	PRG-DIG	Digitalisasi UMKM	50	7	4200000	6	Analytical Simulation
56	2024	BATAM-BLP	Belakang Padang	PRG-HAL	Sertifikasi Halal & Legalitas	76	11	4950000	11	Analytical Simulation
57	2024	BATAM-BLP	Belakang Padang	PRG-MOD	Akses Pembiayaan Mikro	80	12	10800000	12	Analytical Simulation
58	2024	BATAM-BLP	Belakang Padang	PRG-PKG	Packaging & Branding	50	7	5250000	6	Analytical Simulation
59	2024	BATAM-BLP	Belakang Padang	PRG-EXP	Scale-up Ekspor/Antar Pulau	50	7	8400000	6	Analytical Simulation
60	2024	BATAM-BLP	Belakang Padang	PRG-SEA	Blue Economy Support	90	14	11200000	14	Analytical Simulation
61	2024	BATAM-BLG	Bulang	PRG-DIG	Digitalisasi UMKM	50	4	2400000	3	Analytical Simulation
62	2024	BATAM-BLG	Bulang	PRG-HAL	Sertifikasi Halal & Legalitas	76	6	2700000	6	Analytical Simulation
63	2024	BATAM-BLG	Bulang	PRG-MOD	Akses Pembiayaan Mikro	80	6	5400000	6	Analytical Simulation
64	2024	BATAM-BLG	Bulang	PRG-PKG	Packaging & Branding	50	4	3000000	3	Analytical Simulation
65	2024	BATAM-BLG	Bulang	PRG-EXP	Scale-up Ekspor/Antar Pulau	50	4	4800000	3	Analytical Simulation
66	2024	BATAM-BLG	Bulang	PRG-SEA	Blue Economy Support	90	7	5600000	7	Analytical Simulation
67	2024	BATAM-GLG	Galang	PRG-DIG	Digitalisasi UMKM	50	6	3600000	5	Analytical Simulation
68	2024	BATAM-GLG	Galang	PRG-HAL	Sertifikasi Halal & Legalitas	76	9	4050000	9	Analytical Simulation
69	2024	BATAM-GLG	Galang	PRG-MOD	Akses Pembiayaan Mikro	50	6	5400000	5	Analytical Simulation
70	2024	BATAM-GLG	Galang	PRG-PKG	Packaging & Branding	84	10	7500000	10	Analytical Simulation
71	2024	BATAM-GLG	Galang	PRG-EXP	Scale-up Ekspor/Antar Pulau	50	6	7200000	5	Analytical Simulation
72	2024	BATAM-GLG	Galang	PRG-SEA	Blue Economy Support	90	11	8800000	11	Analytical Simulation
