year	semester	kecamatan_id	kecamatan	active_cooperative	inactive_cooperative	total_cooperative	data_status	source_url
2025	Annual	BATAM-NGS	Nongsa	22	43	65	Official	https://satudata.batam.go.id/data/detail/statistikjumlahkoperasiaktifdankoperasitidakaktifmenurutkecamatantahun202320250vxpuul
2023	Semester 1	BATAM-SBD	Sungai Beduk	28	62	90	Official	https://satudata.batam.go.id/data/detail/statistik-jumlah-koperasi-aktif-menurut-kecamatan-di-kota-batam-9m8zrz
2024	Semester 1	BATAM-SBD	Sungai Beduk	29		29	Official	https://satudata.batam.go.id/data/detail/statistik-jumlah-koperasi-aktif-menurut-kecamatan-di-kota-batam-9m8zrz
2025	Annual	BATAM-SBD	Sungai Beduk	31	62	93	Official	https://satudata.batam.go.id/data/detail/statistikjumlahkoperasiaktifdankoperasitidakaktifmenurutkecamatantahun202320250vxpuul
2023	Semester 1	BATAM-BLP	Belakang Padang	6	24	30	Official	https://satudata.batam.go.id/data/detail/statistik-jumlah-koperasi-aktif-menurut-kecamatan-di-kota-batam-9m8zrz
2024	Semester 1	BATAM-BLP	Belakang Padang	6		6	Official	https://satudata.batam.go.id/data/detail/statistik-jumlah-koperasi-aktif-menurut-kecamatan-di-kota-batam-9m8zrz
2025	Annual	BATAM-BLP	Belakang Padang	4	26	30	Official	https://satudata.batam.go.id/data/detail/statistikjumlahkoperasiaktifdankoperasitidakaktifmenurutkecamatantahun202320250vxpuul
2023	Semester 1	BATAM-BLG	Bulang	4	27	31	Official	https://satudata.batam.go.id/data/detail/statistik-jumlah-koperasi-aktif-menurut-kecamatan-di-kota-batam-9m8zrz
2024	Semester 1	BATAM-BLG	Bulang	5		5	Official	https://satudata.batam.go.id/data/detail/statistik-jumlah-koperasi-aktif-menurut-kecamatan-di-kota-batam-9m8zrz
2025	Annual	BATAM-BLG	Bulang	4	28	32	Official	https://satudata.batam.go.id/data/detail/statistikjumlahkoperasiaktifdankoperasitidakaktifmenurutkecamatantahun202320250vxpuul
2023	Semester 1	BATAM-GLG	Galang	7	21	28	Official	https://satudata.batam.go.id/data/detail/statistik-jumlah-koperasi-aktif-menurut-kecamatan-di-kota-batam-9m8zrz
2024	Semester 1	BATAM-GLG	Galang	10		10	Official	https://satudata.batam.go.id/data/detail/statistik-jumlah-koperasi-aktif-menurut-kecamatan-di-kota-batam-9m8zrz
2025	Annual	BATAM-GLG	Galang	11	21	32	Official	https://satudata.batam.go.id/data/detail/statistikjumlahkoperasiaktifdankoperasitidakaktifmenurutkecamatantahun202320250vxpuul
